# One line per declaration whose own first sentence will not fit the column limit.
# <path>:<line of the comment block> | the one line
Source/Y-Core/Foundation/Action.cppm:80 | What key runs a control's action, asked by whatever shows the key.
Source/Y-Core/Foundation/Action.cppm:92 | A named command: what it says, what it draws, and what it does.
Source/Y-Core/Foundation/Action.cppm:236 | The application's own scope of commands.
Source/Y-Core/Foundation/ContextMessage.cppm:9 | Something said about a control without stopping the user.
Source/Y-Core/Foundation/Input.cppm:21 | The input state the whole framework reads.
Source/Y-Core/Foundation/Spatial.cppm:28 | A rectangle turned so travel runs up the primary axis.
Source/Y-Core/Foundation/Spatial.cppm:45 | How one candidate is ranked against another.
Source/Y-Core/Foundation/Tooltip.cppm:17 | One per form, built with it: the window a hint shows in.
Source/Y-Core/Foundation/Traversal.cppm:11 | Whether the visitor walks the children or the traversal does.
Source/Y-Core/Foundation/Traversal.cppm:82 | Every control in the subtree, whatever the geometry says.
Source/Y-Core/Graphics/Graphics.Cpu_Painter_Circle.cppm:10 | Circles, with pivots and radii already in buffer coordinates.
Source/Y-Core/Graphics/Graphics.Cpu_Painter_Rect.cppm:10 | Rects, already in buffer coordinates when they reach here.
Source/Y-Core/Graphics/Graphics.Cpu_Painter_RoundedRect.cppm:10 | Rounded rects, bounds and radius alike already in buffer coordinates.
Source/Y-Core/Graphics/Graphics.Y_Canvas.cppm:135 | Composes a transform onto the canvas for as long as it is alive.
Source/Y-Core/Graphics/Graphics.Y_Canvas.cppm:163 | Draws into the kept image at this index for as long as it is alive.
Source/Y-Core/Graphics/Graphics.Y_Types.cppm:31 | Everything about rasterizing a run of text that a backend has to be told.
Source/Y-Core/Graphics/Graphics.Y_Types.cppm:148 | The shape's own coverage, solid, and the ramp outward from it.
Source/Y-Core/Graphics/Graphics.Y_Types.cppm:373 | What a graphics backend provides, every stroke laid inside its bounds.
Source/Y-Core/System/UiTimer.cppm:29 | A timer that never ticks while user input is still being delivered.
Source/Y-Core/System/UiTypes.Color.cppm:224 | A colour on three channels, each a fraction of its range, over Oklab.
Source/Y-Core/System/UiTypes.TextTypes.cppm:45 | A shade of the ink, as a share of the gap between the surface and the ink.
Source/Y-Core/System/UiTypes.TextTypes.cppm:77 | The three things an ink can be, and the only question the resolver asks.
Source/Y-Core/System/UiTypes.TextTypes.cppm:83 | One of the palette's semantic hues, at the tone this states.
Source/Y-Core/System/UiTypes.TextTypes.cppm:92 | The hue the theme's own live states are drawn from.
Source/Y-Core/System/UiTypes.TextTypes.cppm:96 | The second accent, for what stands apart from the interface.
Source/Y-Core/TextEngine/TextEngine.History.cppm:12 | Where the caret stood, so an undone step puts the user back.
Source/Y-Core/TextEngine/TextEngine.History.cppm:22 | What made an edit, which decides whether it joins the one before it.
Source/Y-Core/TextEngine/TextEngine.History.cppm:32 | The undo history of one editable text.
Source/Y-Core/TextEngine/TextEngine.Layout.cppm:131 | What one edit did, in the coordinates of the text before it.
Source/Y-Core/TextEngine/TextEngine.Text.cppm:135 | A text a control keeps, asked about on every measurement and paint.
Source/Y-Core/TextEngine/TextEngine.Types.cppm:31 | Where a position stands as a reader counts it, both numbers from one.
Source/Y-Core/TextEngine/TextEngine.Types.cppm:204 | One pop for both, because one stack holds them.
Source/Y-Core/TextEngine/TextEngine.Types.cppm:234 | What a control's text has to survive, stated as three cases.
Source/Y-Core/Transfer/Transfer.Clipboard.cppm:18 | The one way on and off the system clipboard.
Source/Y-Core/Transfer/Transfer.Formats.cppm:59 | The one format the core ships.
Source/Y-Core/Transfer/Transfer.Offer.cppm:23 | What arrives from outside: the formats advertised, and a way to ask for one.
Source/Y-Core/Transfer/Transfer.Source.cppm:9 | What leaves the application: the content captured when the user copied.
